[2016-12-25T15:38:05,788][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [searchSourceJSON]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [title]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [visState]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [uiStateJSON]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [description]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [savedSearchId]
[2016-12-25T15:38:05,789][WARN ][o.e.d.i.m.StringFieldMapper$TypeParser] The [string] field is deprecated, please use [text] or [keyword] instead on [searchSourceJSON]
[2016-12-25T15:38:51,346][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-25T15:40:58,953][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-25T15:41:06,089][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-25T15:43:22,138][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-26T10:15:17,063][WARN ][o.e.d.s.g.GroovyScriptEngineService] [groovy] scripts are deprecated, use [painless] scripts instead
[2016-12-27T03:39:19,714][WARN ][o.e.d.s.g.GroovyScriptEngineService] [groovy] scripts are deprecated, use [painless] scripts instead
[2016-12-27T05:15:28,666][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:35,385][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:35,394][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:36,307][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:36,314][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:36,904][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:36,907][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:37,353][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T05:15:37,358][WARN ][o.e.d.i.q.QueryParseContext] query malformed, empty clause found at [1:143]
[2016-12-27T20:09:25,804][WARN ][o.e.d.s.g.GroovyScriptEngineService] [groovy] scripts are deprecated, use [painless] scripts instead
[2017-01-11T22:02:15,167][WARN ][o.e.d.s.g.GroovyScriptEngineService] [groovy] scripts are deprecated, use [painless] scripts instead
[2017-01-17T23:38:32,800][WARN ][o.e.d.s.g.GroovyScriptEngineService] [groovy] scripts are deprecated, use [painless] scripts instead
